subject;predicate;object
https://galileoarchive.org/ISCHGalileo/item/Medaglia;rdf:type;schema:Thing
https://galileoarchive.org/ISCHGalileo/item/Medaglia;schema:additionalType;schema:Award
https://galileoarchive.org/ISCHGalileo/item/Medaglia;schema:name;"""Medaglia Galileo Galilei"""
https://galileoarchive.org/ISCHGalileo/item/Medaglia;schema:startDate;"""2019"""
https://galileoarchive.org/ISCHGalileo/item/Medaglia;schema:location;<https://www.geonames.org/3175395>
https://galileoarchive.org/ISCHGalileo/item/Medaglia;schema:sponsor;<http://viaf.org/viaf/126571826>
